Автокредиты,0,Автокредиты0,0.005,1,0.005,Автокредиты01,,
Автокредиты,1,Автокредиты1,0.02,2,0.02,Автокредиты11,0.005,FALSE
Автокредиты,31,Автокредиты31,0.1,3,0.1,Автокредиты312,0.02,FALSE
Автокредиты,61,Автокредиты61,0.195,4,0.195,Автокредиты613,0.1,FALSE
Автокредиты,91,Автокредиты91,0.464,5,0.464,Автокредиты914,0.195,FALSE
Автокредиты,121,Автокредиты121,0.464,6,0.464,Автокредиты1215,0.464,FALSE
Автокредиты,181,Автокредиты181,0.75,7,0.75,Автокредиты1816,0.464,FALSE
Автокредиты,361,Автокредиты361,1,8,1,Автокредиты3617,0.75,FALSE
Автокредиты,720,Автокредиты720,1,9,1,Автокредиты7208,1,FALSE
"Банковские карты",0,"Банковские карты0",0.02,1,0.02,"Банковские карты09",,FALSE
"Банковские карты",1,"Банковские карты1",0.1,2,0.1,"Банковские карты11",0.02,FALSE
"Банковские карты",31,"Банковские карты31",0.268,3,0.268,"Банковские карты312",0.1,FALSE
"Банковские карты",61,"Банковские карты61",0.376,4,0.376,"Банковские карты613",0.268,FALSE
"Банковские карты",91,"Банковские карты91",0.5,5,0.5,"Банковские карты914",0.376,FALSE
"Банковские карты",121,"Банковские карты121",0.5,6,0.5,"Банковские карты1215",0.5,FALSE
"Банковские карты",181,"Банковские карты181",0.75,7,0.75,"Банковские карты1816",0.5,FALSE
"Банковские карты",361,"Банковские карты361",1,8,1,"Банковские карты3617",0.75,FALSE
"Банковские карты",720,"Банковские карты720",1,9,1,"Банковские карты7208",1,FALSE
"Ипотечное кредитование",0,"Ипотечное кредитование0",0.02,1,0.02,"Ипотечное кредитование09",,FALSE
"Ипотечное кредитование",1,"Ипотечное кредитование1",0.06,2,0.06,"Ипотечное кредитование11",0.02,FALSE
"Ипотечное кредитование",31,"Ипотечное кредитование31",0.2,3,0.2,"Ипотечное кредитование312",0.06,FALSE
"Ипотечное кредитование",61,"Ипотечное кредитование61",0.2,4,0.2,"Ипотечное кредитование613",0.2,FALSE
"Ипотечное кредитование",91,"Ипотечное кредитование91",0.724,5,0.724,"Ипотечное кредитование914",0.2,FALSE
"Ипотечное кредитование",121,"Ипотечное кредитование121",0.724,6,0.724,"Ипотечное кредитование1215",0.724,FALSE
"Ипотечное кредитование",181,"Ипотечное кредитование181",0.75,7,0.75,"Ипотечное кредитование1816",0.724,FALSE
"Ипотечное кредитование",361,"Ипотечное кредитование361",1,8,1,"Ипотечное кредитование3617",0.75,FALSE
"Ипотечное кредитование",720,"Ипотечное кредитование720",1,9,1,"Ипотечное кредитование7208",1,FALSE
"Кредиты под залог",0,"Кредиты под залог0",0.02,1,0.02,"Кредиты под залог09",,FALSE
"Кредиты под залог",1,"Кредиты под залог1",0.06,2,0.06,"Кредиты под залог11",0.02,FALSE
"Кредиты под залог",31,"Кредиты под залог31",0.2,3,0.2,"Кредиты под залог312",0.06,FALSE
"Кредиты под залог",61,"Кредиты под залог61",0.2,4,0.2,"Кредиты под залог613",0.2,FALSE
"Кредиты под залог",91,"Кредиты под залог91",0.671,5,0.671,"Кредиты под залог914",0.2,FALSE
"Кредиты под залог",121,"Кредиты под залог121",0.671,6,0.671,"Кредиты под залог1215",0.671,FALSE
"Кредиты под залог",181,"Кредиты под залог181",0.75,7,0.75,"Кредиты под залог1816",0.671,FALSE
"Кредиты под залог",361,"Кредиты под залог361",1,8,1,"Кредиты под залог3617",0.75,FALSE
"Кредиты под залог",720,"Кредиты под залог720",1,9,1,"Кредиты под залог7208",1,FALSE
"Потребительские кредиты",0,"Потребительские кредиты0",0.02,1,0.02,"Потребительские кредиты09",,FALSE
"Потребительские кредиты",1,"Потребительские кредиты1",0.06,2,0.06,"Потребительские кредиты11",0.02,FALSE
"Потребительские кредиты",31,"Потребительские кредиты31",0.2,3,0.2,"Потребительские кредиты312",0.06,FALSE
"Потребительские кредиты",61,"Потребительские кредиты61",0.237,4,0.237,"Потребительские кредиты613",0.2,FALSE
"Потребительские кредиты",91,"Потребительские кредиты91",0.5,5,0.5,"Потребительские кредиты914",0.237,FALSE
"Потребительские кредиты",121,"Потребительские кредиты121",0.5,6,0.5,"Потребительские кредиты1215",0.5,FALSE
"Потребительские кредиты",181,"Потребительские кредиты181",0.75,7,0.75,"Потребительские кредиты1816",0.5,FALSE
"Потребительские кредиты",361,"Потребительские кредиты361",1,8,1,"Потребительские кредиты3617",0.75,FALSE
"Потребительские кредиты",720,"Потребительские кредиты720",1,9,1,"Потребительские кредиты7208",1,TRUE
Экспресс-кредитование,0,Экспресс-кредитование0,0.02,1,0.02,Экспресс-кредитование09,,FALSE
Экспресс-кредитование,1,Экспресс-кредитование1,0.108,2,0.108,Экспресс-кредитование11,0.02,FALSE
Экспресс-кредитование,31,Экспресс-кредитование31,0.348,3,0.348,Экспресс-кредитование312,0.108,FALSE
Экспресс-кредитование,61,Экспресс-кредитование61,0.495,4,0.495,Экспресс-кредитование613,0.348,FALSE
Экспресс-кредитование,91,Экспресс-кредитование91,0.748,5,0.748,Экспресс-кредитование914,0.495,FALSE
Экспресс-кредитование,121,Экспресс-кредитование121,0.748,6,0.748,Экспресс-кредитование1215,0.748,FALSE
Экспресс-кредитование,181,Экспресс-кредитование181,0.84,7,0.84,Экспресс-кредитование1816,0.748,FALSE
Экспресс-кредитование,361,Экспресс-кредитование361,1,8,1,Экспресс-кредитование3617,0.84,FALSE
Экспресс-кредитование,720,Экспресс-кредитование720,1,9,1,Экспресс-кредитование7208,1,FALSE
